diet_id,member_id,log_date,meal_type,calories_intake,protein_g,carbs_g,fat_g
D00001,M0001,2025-04-01,Breakfast,450,30,50,12
D00002,M0001,2025-04-01,Lunch,650,40,70,18
D00003,M0002,2025-04-01,Breakfast,350,20,45,8
D00004,M0002,2025-04-01,Dinner,500,28,55,15
D00005,M0003,2025-04-02,Breakfast,480,35,48,14
D00006,M0003,2025-04-02,Lunch,700,45,75,20
D00007,M0004,2025-04-02,Breakfast,400,25,50,10
D00008,M0005,2025-04-03,Lunch,600,38,65,16
D00009,M0006,2025-04-03,Breakfast,320,18,42,7
D00010,M0007,2025-04-04,Dinner,620,42,60,18
D00011,M0008,2025-04-04,Lunch,480,30,52,12
D00012,M0009,2025-04-05,Breakfast,500,32,55,14
D00013,M0010,2025-04-05,Dinner,450,28,48,11
D00014,M0011,2025-04-06,Lunch,580,36,62,15
D00015,M0012,2025-04-06,Breakfast,340,20,44,8
D00016,M0013,2025-04-07,Dinner,610,40,58,17
D00017,M0014,2025-04-07,Lunch,420,26,50,10
D00018,M0015,2025-04-08,Breakfast,460,30,50,12
D00019,M0001,2025-04-08,Dinner,550,35,58,14
D00020,M0003,2025-04-09,Lunch,720,48,78,21
