log_id,member_id,workout_date,workout_plan,duration_min,calories_burned,intensity
L00001,M0001,2025-04-01,Strength,60,420,High
L00002,M0001,2025-04-03,Cardio,45,380,Medium
L00003,M0002,2025-04-01,Yoga,50,180,Low
L00004,M0002,2025-04-04,Cardio,40,300,Medium
L00005,M0003,2025-04-02,CrossFit,55,500,High
L00006,M0004,2025-04-02,HIIT,35,340,High
L00007,M0005,2025-04-03,Strength,60,410,Medium
L00008,M0006,2025-04-03,Yoga,45,160,Low
L00009,M0007,2025-04-04,Bodybuilding,70,450,High
L00010,M0008,2025-04-04,Weight Loss,50,320,Medium
L00011,M0009,2025-04-05,CrossFit,60,520,High
L00012,M0010,2025-04-05,Cardio,40,290,Medium
L00013,M0011,2025-04-06,Strength,65,430,High
L00014,M0012,2025-04-06,Yoga,45,170,Low
L00015,M0013,2025-04-07,Bodybuilding,75,460,High
L00016,M0014,2025-04-07,Weight Loss,50,310,Medium
L00017,M0015,2025-04-08,Strength,60,400,Medium
L00018,M0001,2025-04-10,Cardio,45,370,Medium
L00019,M0003,2025-04-11,CrossFit,55,510,High
L00020,M0005,2025-04-12,Strength,60,415,High
